Region,HH,Year,Sector,BAU,CAP,INV,CON,LAB
Germany,Q1,2030,Construction,-0.036130002277103786,-0.007108070852273007,0.07714248089572834,-0.0036847971950069655,-0.056469729916078404
Germany,Q1,2030,Rent,-0.04455377426533289,-0.015465714864568218,0.0690713613608021,-0.023290783802661343,-0.06511602916429085
Germany,Q1,2030,Energy,0.23912435875653903,0.2774836027518387,0.125360492763356,0.35517767992084526,0.21483792323568593
Germany,Q3,2030,Construction,-0.042075856497789964,-0.04198644410005094,-0.04323173913760163,-0.010948312976536024,-0.044989471941885455
Germany,Q3,2030,Rent,-0.05044766450711202,-0.05005050024162676,-0.050400884480586064,-0.030411364504271867,-0.053740973692909554
Germany,Q3,2030,Energy,0.31725377916410824,0.31862658342742084,-0.003432523526564294,0.421740557132225,0.31542324233825697
Germany,Q5,2030,Construction,-0.029827432666051253,-0.03578709327236252,-0.04947473652972106,-0.01302064903399063,-0.022540311423012424
Germany,Q5,2030,Rent,-0.03830628615849692,-0.0439033323009218,-0.05659710256625229,-0.03244292010101052,-0.03149753223347965
Germany,Q5,2030,Energy,0.37691039785782976,0.3698860357148454,-0.005696474398300082,0.44866400008315827,0.38976008683645286
"Spain and 
Portugal",Q1,2030,Construction,0.021162905585540962,0.03965461148416196,0.07092495289337197,0.05177124506950312,0.018611801534571117
"Spain and 
Portugal",Q1,2030,Rent,0.018452686966385894,0.036965210416284006,0.06829831343936105,0.04528114139665796,0.015246077285766386
"Spain and 
Portugal",Q1,2030,Energy,-0.013606354660556529,0.004139008020263875,-0.04413098241717665,0.026131306946823314,-0.016965545916597366
"Spain and 
Portugal",Q3,2030,Construction,0.025138639422127202,0.025522297866932855,0.026052211883145358,0.05040374669845091,0.027563319079582652
"Spain and 
Portugal",Q3,2030,Rent,0.022417869001873463,0.02286945457402543,0.02353563103933697,0.043922081368298456,0.024168016988051672
"Spain and 
Portugal",Q3,2030,Energy,0.004369593839576706,0.0046891508546998365,-0.08265706449244131,0.0418252973378841,0.006080634628144198
"Spain and 
Portugal",Q5,2030,Construction,0.02339456926897395,0.020770077049702008,0.016328106048492778,0.04189244793549685,0.031153376826672748
"Spain and 
Portugal",Q5,2030,Rent,0.02067842770017645,0.018129526904537816,0.013835375354008137,0.035463302781781746,0.027746212370700785
"Spain and 
Portugal",Q5,2030,Energy,0.015047422155201924,0.01244177844838374,-0.08681198055102214,0.047150921549029674,0.022291787555392982
Poland,Q1,2030,Construction,-0.05413488534649653,-0.044282933870919514,-0.024841035042190072,-0.05075587120109317,-0.05862331686092708
Poland,Q1,2030,Rent,-0.0466149150305779,-0.03664059870614392,-0.016933294973861288,-0.04392613105055066,-0.05116546306294129
Poland,Q1,2030,Energy,0.12253796265550276,0.1351028443196919,0.09585343095626526,0.1557799387354244,0.11879600154323111
Poland,Q3,2030,Construction,-0.055121926251331645,-0.05618379180972795,-0.054706057093809,-0.04830355014829944,-0.05705841322958819
Poland,Q3,2030,Rent,-0.04760980326817696,-0.04863662115371746,-0.047040497880095025,-0.04145616573212684,-0.04958816181999842
Poland,Q3,2030,Energy,0.1121818705318587,0.11174573315312596,0.049342748337871674,0.15033257144359063,0.11139847914069954
Poland,Q5,2030,Construction,-0.025179753189337857,-0.026096245322083787,-0.029314655251019797,-0.02124657077237885,-0.021772956039849942
Poland,Q5,2030,Rent,-0.017429579083320382,-0.018308481374718744,-0.021443192576477366,-0.014204513423512286,-0.014023163203720832
Poland,Q5,2030,Energy,0.12337585421085062,0.12304467100595913,0.058356193412795604,0.15893303077581306,0.12865006810431584
